,Type_of_course_Aggregate,Type_of_Fine_Aggregate_,Max._Size_of_Coarse_Aggregate_(mm),Passing_0.6_mm_Sieve_(%),Target_Mean_Strength_(Npermm2),Cement_O.P.C_(Kgperm3),WaterCement_Ratio,Water_Content_(Kgperm3),,Additive_Type_&_Dosage_(per100_kg_of_cement),Total_Aggregate_(Kgperm3),Fine_Aggregate_(Kgperm3),Coarse_Aggregate_(Kgperm3),Workability_Slump_(mm),Hardened_Concrete_Desnity_(avg.),7_day_str,28_day_str,Type_of_Coarse_Aggregate,Type_of_Fine_Aggregate,Passing_0.6mm_Sieve(%),Additive_Type_&_Dos._(per100_Kg_of_cement),Admix_type,Admix_dosage
656,Natural,Natural,20,39,38,350,0.49,170,,type rehobuild 850 *dos 1 lit,1880,750,1130,150,2402,33.9,0,0,0,0,0,,
657,Natural,Natural,20,29.8,38,350,0.47,165,,Type SP 432 * Dos. 1.0 lit,1915,780,1135,180,2406,31.2,0,0,0,0,0,,
658,Natural,Natural,20,34.5,38,325,0.49,160,,reho build 850 .75 lit,1915,765,1150,100,2402,27.6,0,0,0,0,0,,
659,Natural,Natural,40,24,38,325,0.49,160,,Euro 8600 Dos. *1.0 lit ,1915,725,1190,175,2406,31.5,42.2,0,0,0,0,,
660,Natural,Natural,40,32.7,38,325,0.49,160,,reho build 850 .75 lit,1915,715,1190,165,2406,23,0,0,0,0,0,,
661,Natural,Natural,40,32.7,38,325,0.49,160,,reho build 850 .75 lit,1915,725,1190,165,2405,23,28.6,0,0,0,0,,
662,Natural,Natural,40,24,38,325,0.49,160,,Euro 8600 Dos. *1.0 lit ,1915,725,1190,175,2405,31.5,0,0,0,0,0,,
663,Crushed,Natural,20,33.2,38,350,0.53,185,,Type SP901* Dos 3.5 lit,1915,725,1190,150,2455,29.4,39.9,0,0,0,0,,
664,Crushed,Natural,20,33.2,38,350,0.53,185,,Type SP901* Dos 3.5 lit,1915,725,1190,150,2455,32.3,0,0,0,0,0,,
665,Natural,Natural,20,52.1,38,250,0.5,175,,consplat RP 364 *dos .8,1865,710,1155,200,2395,30,0,0,0,0,0,,
666,Natural,Natural,20,25,38,350,0.51,165,,Type SP Gold* Dos 1.0 lit,1910,745,1165,150,2406,31.4,0,0,0,0,0,,
667,Natural,Natural,20,48.1,38,350,0.49,170,,type SP 801 dos 1 lit,1880,715,1165,150,2408,32.2,0,0,0,0,0,,
668,Natural,Natural,20,37.6,38,350,0.46,160,,type sikament 2004*dos. 1 lit,1890,720,1170,200,2406,32.4,0,0,0,0,0,,
669,Natural,Natural,40,26.2,38,350,0.51,180,,Type SP901* Dos 1.0 lit,1870,675,1195,150,2403,25,0,0,0,0,0,,
670,Natural,Natural,40,70.7,38,220,0.5,165,,type rehobuild 850 *dos 1 lit,1905,705,1200,125,2403,31.4,39.9,0,0,0,0,,
671,Crushed,Natural,20,30.2,38,300,0.62,185,,Type SP901* Dos 0.75 lit,1965,765,1200,120,2456,19,0,0,0,0,0,,
672,Natural,Natural,40,70.7,38,330,0.5,165,,type rehobuild 850 *dos 1 lit,1905,705,1200,125,2405,31.4,0,0,0,0,0,,
673,Natural,Natural,40,60.5,38,350,0.5,175,,Type SP901* Dos 0.75 lit,1875,675,1200,150,2403,21.9,32.2,0,0,0,0,,
674,Natural,Natural,40,60.5,38,350,0.5,175,,Type SP901* Dos 0.75 lit,1875,675,1200,150,2404,21.9,0,0,0,0,0,,
675,Natural,Natural,40,46.2,38,350,0.47,165,,type SP 801 dos 1 lit,1885,685,1200,205,2401,31.1,0,0,0,0,0,,
676,Natural,Natural,40,43.6,38,350,0.49,170,,Euro 8600 Dos. *0.75 lit ,1880,680,1200,125,2404,34.8,0,0,0,0,0,,
677,Natural,Natural,40,34.6,38,350,0.49,170,,type euro blasé 8600*dos .75 lit,1880,680,1200,125,2405,34.8,41.3,0,0,0,0,,
678,Natural,Natural,20,0,38,350,0.48,165,,Type RehoBuild 850* Dos 1.0lit,1885,715,1170,200,2403,27.8,0,0,0,0,0,,
679,Natural,Natural,20,38,38,365,0.48,175,,Type SP901* Dos. 0.75 lit,1860,690,1170,150,2403,31.1,0,0,0,0,0,,
680,Natural,Natural,20,57,38,340,0.49,190,,Type SP901* Dos. 0.75 lit,1880,695,1185,200,2405,32.6,0,0,0,0,0,,
681,Natural,Natural,40,50.8,38,325,0.5,160,,type cicofluid g150 dos .75 lit,1915,610,1205,100,2408,37.3,0,0,0,0,0,,
682,Natural,Natural,40,50.8,38,325,0.5,160,,type cicofluid g150 dos .75 lit,1915,710,1205,100,2407,37.3,41.4,0,0,0,0,,
683,Crushed,Natural,20,36.9,38,350,0.55,185,,Type SP901* Dos 3.5 lit,1915,710,1205,130,2454,23.5,30.4,0,0,0,0,,
684,Crushed,Natural,20,36.9,38,350,0.55,185,,Type SP901* Dos 3.5 lit,1915,710,1205,130,2403,23.5,0,0,0,0,0,,
685,Natural,Natural,20,54.3,38,350,0.49,170,,Type SD2 * Dos 0.75 lit,1880,695,1185,130,2403,27.7,0,0,0,0,0,,
686,Natural,Natural,20,48.2,38,350,0.5,175,,Sp 432 0.9 lit ,1855,670,1185,200,2386,32.9,0,0,0,0,0,,
687,Natural,Natural,40,53.3,38,350,0.47,165,,Type SP901* Dos 0.75 lit,1885,680,1205,170,2411,28.7,32.9,0,0,0,0,,
688,Natural,Natural,40,53.3,38,350,0.47,165,,Type SP901* Dos 0.75 lit,1885,680,1205,150,2418,26.5,29.5,0,0,0,0,,
689,Natural,Natural,40,53.3,38,350,0.47,165,,Type SP901* Dos 0.75 lit,1885,680,1205,150,2415,26.5,0,0,0,0,0,,
690,Natural,Natural,40,53.3,38,350,0.47,165,,Type SP901* Dos 0.75 lit,1885,680,1205,170,2413,28.7,0,0,0,0,0,,
691,Natural,Natural,20,42,38,350,0.46,160,,Reho build 0.75 lit,1890,700,1190,200,2403,25.9,0,0,0,0,0,,
692,Natural,Natural,20,67.3,38,350,0.49,170,,Type Reheobuild 850 * Dos. 1.0 lit,1870,675,1195,150,2395,29.5,0,0,0,0,0,,
693,Natural,Natural,40,37.2,38,325,0.52,107,,type SP 801 dos 1 lit,1905,690,1215,140,2401,27.6,36.1,0,0,0,0,,
694,Natural,Natural,40,37.2,38,325,0.52,170,,type SP 801 dos 1 lit,1905,690,1215,140,2404,27.6,0,0,0,0,0,,
695,Natural,Natural,40,45,38,330,0.48,160,,type complast 432 *dos 1 lit,1910,690,1220,180,2403,32,0,0,0,0,0,,
696,Natural,Natural,40,45,38,330,0.48,160,,type complast 432 *dos 1 lit,1910,690,1220,180,2404,32,45.5,0,0,0,0,,
697,Natural,Natural,40,59.5,38,325,0.5,160,,type cicofluid g150 dos .75 lit,1915,690,1225,70,2405,18.7,0,0,0,0,0,,
698,Natural,Natural,40,59.5,38,325,0.5,160,,type cicofluid g150 dos .75 lit,1915,690,1225,70,2404,38.7,40.7,0,0,0,0,,
699,Natural,Natural,20,45.6,38,320,0.52,165,,type SP 801 dos 1 lit,1915,710,1205,120,2407,32.7,0,0,0,0,0,,
700,Natural,Natural,20,45.6,38,320,0.52,165,,type SP 801 dos 1 lit,1915,710,1205,170,2402,0,0,0,0,0,0,,
701,Natural,Natural,20,48.2,38,350,0.5,175,,Sp 432 0.9 lit ,1855,650,1205,140,2385,32.5,0,0,0,0,0,,
702,Natural,Natural,20,45.6,38,340,0.5,170,,type SP 801 dos 1 lit,1890,660,1210,200,2406,32,0,0,0,0,0,,
703,Natural,Natural,40,0,38,350,0.47,165,,Type Sikament R2004 Dos. 1.0 lit ,1915,690,1225,140,202,32.1,0,0,0,0,0,,
704,Natural,Natural,40,0,38,350,0.47,165,,type sikament 2004*dos. 1 lit,1915,690,1225,140,2401,32.1,40.7,0,0,0,0,,
705,Natural,Natural,20,73,38,335,0.52,175,,Type Sp701 * Dos. 1.2 lit,1890,660,1230,170,2409,21.3,0,0,0,0,0,,
706,Natural,Natural,20,59.7,38,340,0.5,170,,sikamentR2004 dos .8,1855,630,1225,115,2388,26.3,0,0,0,0,0,,
707,Natural,Natural,20,56.7,38,340,0.5,170,,sikamentR2004 dos .8,1855,630,1225,180,2386,28.1,0,0,0,0,0,,
708,Natural,Natural,20,73,38,335,0.52,175,,type SP 801 dos 1 lit,1890,660,1230,170,2406,21.5,28.4,0,0,0,0,,
709,Natural,Natural,20,73,38,335,0.51,171,,Type SP 8001 * Dos. 1.0 lit ,1890,660,1230,200,2410,27.7,0,0,0,0,0,,
710,Natural,Natural,40,26.2,38,310,0.5,155,,type SP 801 dos 1 lit,1935,700,1235,170,2405,33,37.2,0,0,0,0,,
711,Natural,Natural,40,79,38,350,0.5,175,,type SP 801 dos 1 lit,1875,635,1240,200,2405,28.6,41.5,0,0,0,0,,
712,Natural,Natural,40,79,38,350,0.5,175,,type SP 801 dos 1 lit,1875,635,1240,200,2406,28.6,0,0,0,0,0,,
713,Crushed,Natural,40,82,38,350,0.5,175,,type SP 801 dos 1 lit,1915,675,1240,140,2447,30.9,37.5,0,0,0,0,,
714,Crushed,Natural,40,82,38,350,0.5,175,,Type SP901* Dos. 0.75 lit,1915,675,1240,140,2445,30.9,0,0,0,0,0,,
715,Crushed,Natural,40,82.4,38,350,0.5,175,,type SP 801 dos 1 lit,1915,760,1245,100,2442,30.2,37,0,0,0,0,,
716,Crushed,Natural,40,82,38,350,0.5,175,,Type SP901* Dos. 0.75 lit,1915,670,1245,100,2442,30.2,0,0,0,0,0,,
717,Natural,Natural,20,69.4,38,400,0.41,165,,sp432 dos 1.0 lit,1835,605,1230,220,2404,30.2,0,0,0,0,0,,
718,Natural,Natural,20,46.4,38,325,0.52,170,,.4%plastment rx-sr .75%of sikament 163m by weight of cement ,1905,650,1255,135,2402,34.8,0,0,0,0,0,,
719,Natural,Natural,40,82,38,350,0.46,160,,type SP 801 dos 1 lit,1890,625,1265,170,2409,31.5,37.7,0,0,0,0,,
720,Natural,Natural,40,82,38,350,0.46,160,,Type SP901* Dos. 0.75 lit,1890,625,1265,170,2404,31.5,0,0,0,0,0,,
721,Natural,Natural,20,69.4,38,340,0.49,165,,sp432 dos 1.0 lit,1895,625,1270,140,2402,25.4,0,0,0,0,0,,
722,Crushed,Natural,20,76,38,350,0.53,185,,Type Sikament 163 Dos. 1.0 & Rx-Rs Dos.0.5 lit,1915,595,1320,120,2455,28.5,0,0,0,0,0,,
723,Natural,Natural,40,66.1,38,330,0.5,165,,sikament R2004 dos .8,1905,570,1335,80,2403,30.6,37.4,0,0,0,0,,
724,Natural,Natural,40,66.12,38,330,0.5,165,,sikament R2004 dos .8,1905,570,1335,80,2402,30.6,0,0,0,0,0,,
725,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
726,Natural,Natural,20,46.4,38,325,0.52,170,,.4% plastment rx-sr & .5 %of sikament 163m by weght of cement,1905,650,1255,135,2402,34.8,43.9,0,0,0,0,,
727,Natural,Natural,20,46.4,38,325,0.52,170,,.4%plastment rx-sr .75%of sikament 163m by weight of cement ,1905,650,1255,135,2402,34.8,0,0,0,0,0,,
728,Natural,Natural,20,31.6,38,330,0.5,165,,consplat RP 364 *dos .8,1905,800,1105,130,2403,33.1,0,0,0,0,0,,
729,Natural,Natural,20,31.6,38,350,0.49,170,,consplat RP 364 *dos .8,1875,805,1075,200,2401,35.9,0,0,0,0,0,,
730,Natural,Natural,20,52.1,38,350,0.5,175,,consplat RP 364 *dos .8,1865,710,1155,200,2395,30,39.5,0,0,0,0,,
731,Natural,Natural,20,52.1,38,250,0.5,175,,consplat RP 364 *dos .8,1865,710,1155,200,2395,30,0,0,0,0,0,,
732,Crushed,Natural,20,52.5,38,350,0.57,200,,consplat RP 364 *dos .8,1910,710,710,125,2453,19,37.6,0,0,0,0,,
733,Crushed,Natural,20,33.4,38,370,0.5,185,,consplat RP 364 *dos .8,1895,795,660,125,2449,37.8,46.4,0,0,0,0,,
734,Crushed,Natural,20,43,48,400,0.46,185,,euro 8600 dos 1 lit,1875,750,1125,150,2460,37.4,41.9,0,0,0,0,,
735,Crushed,Natural,20,24,38,350,0.53,185,,Euro 8600 Dos. *1.0 lit ,1915,805,1110,175,2453,34.3,44.8,0,0,0,0,,
736,Crushed,Natural,20,24,38,350,0.53,185,,Euro 8600 Dos. *1.0 lit ,1915,805,1110,220,2405,34.3,0,0,0,0,0,,
737,Natural,Natural,20,24.2,38,340,0.5,170,,Euro PLAST 8600 Dos. *0.75 lit ,1880,770,1110,125,2454,31.4,39,0,0,0,0,,
738,Natural,Natural,20,24.4,38,340,0.5,170,,Euro PLAST 8600 Dos. *0.75 lit ,1880,770,1110,125,2452,31.4,0,0,0,0,0,,
739,Natural,Natural,20,45.9,38,350,0.51,180,,0,1870,690,1180,100,2405,17.9,25.3,0,0,0,0,,
740,Natural,Natural,20,69.8,38,350,0.51,180,,0,1870,710,1160,110,2404,20.8,26.4,0,0,0,0,,
741,Natural,Natural,20,69.8,38,350,0.51,180,,0,1870,710,1160,110,2404,20.8,26.4,0,0,0,0,,
742,Natural,Natural,20,44.6,38,350,0.51,170,,0,1880,680,1200,100,2404,21.2,29.2,0,0,0,0,,
743,Natural,Natural,20,0,38,350,0.51,180,,0,1870,675,1195,100,2405,20.7,29.3,0,0,0,0,,
744,Crushed,Natural,20,45.8,38,350,0.54,190,,0,1910,780,1130,100,2404,20.5,29.7,0,0,0,0,,
745,Natural,Natural,20,45.8,38,350,0.54,190,,0,1910,780,1130,100,2403,20.5,29.7,0,0,0,0,,
746,Natural,Natural,20,29,38,350,0.51,180,,0,1870,710,1160,170,2405,21.1,29.8,0,0,0,0,,
747,Crushed,Natural,20,23.1,38,350,0.53,185,,0,1915,770,1145,120,2454,21.9,29.9,0,0,0,0,,
748,Natural,Natural,20,48.9,38,380,0.5,190,,0,1810,760,1050,165,2390,25,30,0,0,0,0,,
749,Crushed,Natural,20,36,38,350,0.54,190,,0,1920,770,1150,120,2463,24.8,31.1,0,0,0,0,,
750,Crushed,Natural,20,33.1,38,375,0.51,190,,0,1885,715,1170,120,2452,24.9,31.5,0,0,0,0,,
751,Crushed,Natural,20,0,38,350,0.51,180,,0,1910,765,1140,150,2400,21.8,31.7,0,0,0,0,,
752,Natural,Natural,20,55.1,38,350,0.51,180,,0,1850,705,1145,100,2384,27.1,32.1,0,0,0,0,,
753,Natural,Natural,20,30,25,375,0.51,190,,0,1835,735,1100,145,2405,23.7,32.2,0,0,0,0,,
754,Natural,Natural,20,56,38,360,0.49,175,,0,1845,685,1160,95,2391,26.3,32.5,0,0,0,0,,
755,Crushed,Natural,20,50.7,38,350,0.54,190,,0,1920,730,1190,150,2455,24.1,32.7,0,0,0,0,,
756,Crushed,Natural,20,38.3,38,350,0.49,185,,0,1915,770,1145,110,2451,23.4,32.9,0,0,0,0,,
757,Crushed,Natural,20,0,38,350,0.54,190,,0,1920,770,1150,65,2460,28.4,33.3,0,0,0,0,,
758,Crushed,Natural,20,62.9,38,365,0.53,195,,0,1880,695,1175,100,2443,25.1,33.4,0,0,0,0,,
759,Natural,Natural,20,54,38,350,0.5,175,,0,1875,675,1200,150,2407,28.6,34,0,0,0,0,,
760,Crushed,Natural,20,26.1,38,360,0.53,190,,0,1900,780,670,100,2454,28.2,34.1,0,0,0,0,,
761,Natural,Natural,20,41,38,350,0.53,185,,0,1845,735,1110,110,2384,26.3,34.1,0,0,0,0,,
762,Natural,Natural,20,46.2,38,350,0.51,180,,0,1850,648,1202,140,2390,25.1,34.3,0,0,0,0,,
763,Crushed,Crushed,20,43.3,38,380,0.55,210,,0,1815,815,1000,120,2403,29.4,34.4,0,0,0,0,,
764,Crushed,Natural,20,36,38,350,0.56,195,,0,1885,810,1075,120,2432,26.3,34.6,0,0,0,0,,
765,Natural,Natural,20,43.3,38,350,0.53,185,,0,1865,710,1155,140,2405,26.9,34.9,0,0,0,0,,
766,Natural,Natural,20,52,38,350,0.54,190,,0,1860,650,1210,130,2405,24.2,35,0,0,0,0,,
767,Crushed,Natural,20,29.1,38,350,0.54,190,,0,1910,690,1220,100,2451,25.9,35.5,0,0,0,0,,
768,Crushed,Natural,20,33.1,38,350,0.54,190,,0,1910,690,1220,110,2455,26.8,35.5,0,0,0,0,,
769,Crushed,Natural,20,44.5,38,350,0.6,210,,0,1865,710,924,90,2430,27.8,35.8,0,0,0,0,,
770,Crushed,Natural,20,0,38,350,0.54,190,,0,1885,755,1140,80,2430,25.8,36.1,0,0,0,0,,
771,Crushed,Natural,20,39.7,38,350,0.53,185,,0,1915,710,1205,120,2453,28.9,36.3,0,0,0,0,,
772,Crushed,Natural,20,43.9,38,350,0.54,190,,0,1910,725,1185,175,2459,29,36.3,0,0,0,0,,
773,Crushed,Natural,20,12.8,38,350,0.56,195,,0,1910,800,1110,105,2456,27.6,37.1,0,0,0,0,,
774,Natural,Natural,20,39,38,350,0.51,180,,0,1970,690,710,110,2406,30.4,37.2,0,0,0,0,,
775,Natural,Natural,20,72.9,38,350,0.5,175,,0,1875,695,1180,105,2405,26.8,37.5,0,0,0,0,,
776,Crushed,Natural,20,43.6,38,350,0.54,190,,0,1910,725,1185,120,2452,25.4,37.7,0,0,0,0,,
777,Crushed,Crushed,20,43.3,38,380,0.55,210,,0,1815,815,1000,120,2402,29.4,0,0,0,0,0,,
778,Crushed,Natural,20,51.8,38,365,0.53,210,,0,1865,745,1120,120,2430,26.5,38,0,0,0,0,,
779,Crushed,Natural,20,54.2,38,350,0.54,190,,0,1910,690,1220,120,2453,31.1,39.1,0,0,0,0,,
780,Crushed,Natural,20,26.3,38,350,0.6,210,,0,1865,745,896,130,2430,28.3,39.3,0,0,0,0,,
781,Crushed,Natural,20,47.3,39,375,0.55,205,,0,1850,700,1150,75,2433,29.1,39.4,0,0,0,0,,
782,Crushed,Natural,20,15.4,38,350,0.54,190,,0,1910,765,1145,80,2455,27.1,39.7,0,0,0,0,,
783,Crushed,Natural,20,26.3,38,350,0.54,190,,0,1900,725,1175,150,2443,34.6,40.5,0,0,0,0,,
784,Crushed,Natural,20,83.4,38,370,0.55,205,,0,1835,585,1250,80,2412,33.5,41,0,0,0,0,,
785,Crushed,Natural,20,35.8,38,350,0.5,175,,0,1855,780,1075,100,2389,32.8,41.3,0,0,0,0,,
786,Crushed,Natural,20,30.1,38,350,0.5,175,,0,1910,765,1145,100,2456,32.7,41.9,0,0,0,0,,
787,Crushed,Natural,20,32.5,38,350,0.54,190,,0,1910,690,1220,120,2451,32.5,43,0,0,0,0,,
788,Crushed,Natural,20,30.1,38,350,0.5,175,,0,1910,765,1145,100,2455,32.7,0,0,0,0,0,,
789,Crushed,Natural,20,30.1,38,350,0.5,175,,0,1910,765,1145,100,2455,32.7,0,0,0,0,0,,
790,Crushed,Natural,20,39.6,38,380,0.5,190,,0,1880,750,1130,95,2453,31.5,0,0,0,0,0,,
791,Crushed,Natural,20,15.4,38,350,0.54,190,,0,1910,765,1145,80,2455,27.1,0,0,0,0,0,,
792,Crushed,Natural,20,39.7,38,350,0.53,185,,0,1915,710,1205,120,2451,28.9,0,0,0,0,0,,
793,Natural,Natural,20,64.4,38,350,0.51,170,,0,1880,680,1200,100,2405,21.2,0,0,0,0,0,,
794,Crushed,Natural,20,23.1,38,350,0.53,185,,0,1915,770,1145,120,2456,21.9,0,0,0,0,0,,
795,Natural,Natural,20,45.9,38,350,0.51,180,,0,1870,690,1180,100,2404,17.9,0,0,0,0,0,,
796,Crushed,Natural,20,26.9,38,350,0.51,180,,0,1910,765,1140,150,2369,21.8,0,0,0,0,0,,
797,Natural,Natural,20,67,38,350,0.51,180,,0,1870,675,1195,100,2407,20.7,0,0,0,0,0,,
798,Crushed,Natural,20,21.1,38,350,0.5,170,,0,1910,765,1145,80,2453,18.2,0,0,0,0,0,,
799,Crushed,Natural,20,21.1,38,350,0.54,170,,0,1910,765,1145,80,2453,18.2,0,0,0,0,0,,
800,Natural,Natural,20,69.8,38,350,0.51,180,,0,1870,710,1160,110,2406,20.8,0,0,0,0,0,,
801,Natural,Natural,20,55.8,38,350,0.51,180,,0,1870,710,1160,150,2403,12,0,0,0,0,0,,
802,Natural,Natural,20,29,38,350,0.51,180,,0,1870,710,1160,170,2404,21.1,0,0,0,0,0,,
803,Crushed,Natural,20,45.8,38,350,0.54,190,,0,1910,780,1130,100,2456,20.5,0,0,0,0,0,,
804,Crushed,Natural,20,32.5,38,350,0.54,190,,0,1910,690,1220,120,2452,32.4,0,0,0,0,0,,
805,Crushed,Natural,20,43.6,38,350,0.54,190,,0,1910,725,1185,120,2454,25.4,0,0,0,0,0,,
806,Crushed,Natural,20,50.7,38,350,0.54,190,,0,1920,730,1190,150,2455,24.1,0,0,0,0,0,,
807,Crushed,Natural,20,29.1,38,350,0.54,190,,0,1910,690,1220,100,2456,25.9,0,0,0,0,0,,
808,Natural,Natural,20,52,38,350,0.54,190,,0,1860,650,1210,130,2404,24.2,0,0,0,0,0,,
809,Crushed,Natural,20,33.1,38,350,0.54,190,,0,1910,690,1220,110,2459,26.8,0,0,0,0,0,,
810,Crushed,Natural,20,54.1,38,350,0.54,190,,0,1910,690,1220,120,2450,31.1,0,0,0,0,0,,
811,Crushed,Natural,20,43.9,38,350,0.54,190,,0,1910,725,1185,175,2454,29,0,0,0,0,0,,
812,Crushed,Natural,20,26.1,38,360,0.53,190,,0,1900,780,760,100,2453,28.2,0,0,0,0,0,,
813,Crushed,Natural,20,40,38,350,0.53,184,,0,1905,725,1180,180,2464,29.1,0,0,0,0,0,,
814,Crushed,Natural,20,43.3,38,350,0.5,185,,0,1905,725,1180,150,2453,30.8,0,0,0,0,0,,
815,Crushed,Natural,20,0,38,350,0.54,290,,0,1920,770,1150,65,2465,28.4,0,0,0,0,0,,
816,Crushed,Natural,20,45.6,38,350,0.53,185,,0,1915,725,715,120,2456,32.8,0,0,0,0,0,,
817,Crushed,Natural,20,26.3,38,350,0.54,190,,0,1900,725,1175,150,2449,34.6,0,0,0,0,0,,
818,Crushed,Natural,20,43,38,350,0.5,180,,0,1910,710,720,90,2447,33.1,0,0,0,0,0,,
819,Crushed,Natural,20,62.9,38,365,0.53,195,,0,1880,695,1175,100,2442,25.1,0,0,0,0,0,,
820,Crushed,Natural,20,0,38,350,0.54,190,,0,1885,755,750,80,2430,25.8,0,0,0,0,0,,
821,Crushed,Natural,20,38.3,38,350,0.53,185,,0,1915,770,1145,110,2455,32.4,0,0,0,0,0,,
822,Crushed,Natural,20,12.8,38,350,0.56,195,,0,1910,800,1110,105,2455,27.6,0,0,0,0,0,,
823,Crushed,Natural,20,33.1,38,375,0.51,190,,0,1885,715,1170,120,2450,24.9,0,0,0,0,0,,
824,Crushed,Natural,20,32.4,38,365,0.47,170,,0,1925,865,1060,220,2456,32.8,0,0,0,0,0,,
825,Crushed,Natural,20,32.4,38,365,0.53,195,,0,1860,835,1025,165,2424,30.2,0,0,0,0,0,,
826,Crushed,Natural,20,32.4,38,365,0.53,195,,0,1860,835,1025,165,2425,31.3,0,0,0,0,0,,
827,Crushed,Natural,20,0,38,350,0.54,190,,0,1885,755,750,80,2431,25.8,0,0,0,0,0,,
828,Crushed,Natural,20,36,38,350,0.56,195,,0,1885,810,1075,120,2434,26.3,0,0,0,0,0,,
829,Crushed,Natural,20,51.8,38,365,0.53,210,,0,1865,745,1120,120,2431,26.5,0,0,0,0,0,,
830,Crushed,Natural,20,35.8,38,350,0.5,175,,0,1855,780,1075,100,2385,32.8,0,0,0,0,0,,
831,Natural,Natural,20,30,38,375,0.51,190,,0,1835,735,1100,145,2404,23.7,0,0,0,0,0,,
832,Crushed,Natural,20,26.3,38,350,0.6,210,,0,1865,745,896,130,2427,28.3,0,0,0,0,0,,
833,Crushed,Natural,20,44.5,38,350,0.6,210,,0,1865,710,924,90,2428,27.8,0,0,0,0,0,,
834,Crushed,Natural,20,83.4,38,370,0.55,205,,0,1835,585,1250,80,2414,33.5,0,0,0,0,0,,
835,Crushed,Natural,20,47.3,38,375,0.55,205,,0,1850,700,1150,75,2435,29.1,0,0,0,0,0,,
836,Crushed,Natural,20,36,38,350,0.54,190,,0,1920,770,1150,120,2465,24.8,0,0,0,0,0,,
837,Natural,Natural,20,21.4,38,360,0.5,180,,0,1840,685,1155,100,2496,26.5,38.5,0,0,0,0,,
838,Natural,Natural,20,57.8,38,350,0.49,170,,0,1880,695,1185,110,2409,32.6,40.1,0,0,0,0,,
839,Natural,Natural,20,46.9,38,360,0.51,185,,0,1870,710,1160,120,2392,31.3,41.4,0,0,0,0,,
840,Natural,Natural,20,39,38,350,0.49,170,,0,1880,750,1130,150,2406,33.9,41.8,0,0,0,0,,
841,Natural,Natural,20,72.9,38,350,0.5,175,,0,1875,695,1180,105,2405,26.8,0,0,0,0,0,,
842,Natural,Natural,20,62.3,38,350,0.51,180,,0,1870,750,1195,150,2406,25.7,0,0,0,0,0,,
843,Natural,Natural,20,43.3,38,350,0.53,185,,0,1865,710,1155,140,2405,26.9,0,0,0,0,0,,
844,Natural,Natural,20,72.9,38,350,0.5,175,,0,1875,695,1180,105,2405,26.8,0,0,0,0,0,,
845,Natural,Natural,20,57.8,38,350,0.49,170,,0,1880,695,1185,110,2407,32.6,0,0,0,0,0,,
846,Natural,Natural,20,39,38,350,0.51,180,,0,1870,690,1180,110,2402,30.4,0,0,0,0,0,,
847,Natural,Natural,20,41,38,350,0.53,185,,0,1845,735,1110,110,2384,26.3,0,0,0,0,0,,
848,Natural,Natural,20,32.4,38,350,0.51,180,,0,1850,705,1145,160,2389,26.4,0,0,0,0,0,,
849,Natural,Natural,20,32.4,38,350,0.51,180,,0,1850,705,1145,160,2394,28.6,0,0,0,0,0,,
850,Natural,Natural,20,48.9,38,360,0.5,180,,0,1840,775,1075,115,2386,24.8,0,0,0,0,0,,
851,Natural,Natural,20,48.9,38,380,0.5,190,,0,1810,760,1050,165,2387,25,0,0,0,0,0,,
852,Natural,Natural,20,46.2,38,350,0.51,180,,0,1850,648,1202,140,2385,25.1,0,0,0,0,0,,
853,Natural,Natural,20,55.1,38,350,0.51,180,,0,1850,705,1145,100,2382,27.1,0,0,0,0,0,,
854,Natural,Natural,20,48.3,38,350,0.5,175,,0,1855,740,1115,80,2387,27.6,0,0,0,0,0,,
855,Natural,Natural,20,21.4,38,360,0.5,180,,0,1840,685,1155,100,2390,26.5,0,0,0,0,0,,
856,Natural,Natural,20,46.9,38,360,0.51,185,,0,1870,710,1160,120,2395,31.3,0,0,0,0,0,,
857,Crushed,Natural,20,49,38,350,0.54,190,,plastment rx-xr .8 lit,1890,715,705,140,2434,30.9,0,0,0,0,0,,
858,Natural,Natural,20,36.7,38,330,0.48,160,,R2004 * Dos * 0.7 lit,1910,820,1090,160,2405,30.8,34,0,0,0,0,,
859,Natural,Natural,20,36.7,38,330,0.48,160,,R2004 * Dos * 0.7 lit,1910,820,1090,160,2405,30.8,0,0,0,0,0,,
860,Natural,Natural,20,36.7,38,350,0.47,165,,R2004 * Dos * 0.8 lit,1880,810,1070,200,2395,33.1,39.2,0,0,0,0,,
861,Natural,Natural,20,36.7,38,350,0.47,165,,R2004 * Dos * 0.8 lit,1880,810,1070,200,2396,33.1,0,0,0,0,0,,
862,Crushed,Natural,20,40,38,400,0.45,180,,R2004 dos 1.65 lit,1840,770,750,200,2445,36.3,0,0,0,0,0,,
863,Crushed,Natural,20,40,38,400,0.45,180,,R2004 dos 1.65 lit,1840,770,750,200,2450,36.3,46.6,0,0,0,0,,
864,Crushed,Natural,20,40,38,400,0.45,180,,R2004 dos 1.65 lit,1840,770,750,200,2445,36.3,46.6,0,0,0,0,,
865,Natural,Natural,20,42,38,350,0.46,160,,Reho build 0.75 lit,1890,700,1190,200,2403,25.9,0,0,0,0,0,,
